,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
0,NSRDB,693763,-,-,-,33.21,-97.14,-6,203,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,v3.0.1
1,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2009,1,2,14,0,534,70,920,3.3000000000000003,19,59.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2009,1,2,14,30,480,68,896,3.2,19,62.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2009,1,2,15,0,413,64,860,3.2,19,66.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2009,1,2,15,30,334,59,811,2.4000000000000004,17,70.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2009,1,2,16,0,247,52,737,1.6,16,74.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2009,1,2,16,30,155,42,623,1.6,14,79.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2009,1,2,17,0,66,27,426,1.7000000000000002,12,84.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2009,1,2,17,30,0,0,0,1.9000000000000001,11,90.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2009,1,2,18,0,0,0,0,2.1,11,95.85000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2009,1,2,18,30,0,0,0,2.4000000000000004,11,101.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2009,1,2,19,0,0,0,0,2.7,11,107.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2009,1,2,19,30,0,0,0,3.1,11,113.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2009,1,2,20,0,0,0,0,3.6,12,119.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2009,1,2,20,30,0,0,0,3.8000000000000003,12,126.10000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2009,1,2,21,0,0,0,0,4.1000000000000005,12,132.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2009,1,2,21,30,0,0,0,4.3,12,138.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2009,1,2,22,0,0,0,0,4.5,12,144.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2009,1,2,22,30,0,0,0,4.6000000000000005,12,151.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2009,1,2,23,0,0,0,0,4.800000000000001,12,157.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2009,1,2,23,30,0,0,0,4.6000000000000005,12,162.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2009,1,3,0,0,0,0,0,4.5,12,167.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2009,1,3,0,30,0,0,0,4.2,11,169.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2009,1,3,1,0,0,0,0,4.0,11,168.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2009,1,3,1,30,0,0,0,3.9000000000000004,11,163.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2009,1,3,2,0,0,0,0,3.8000000000000003,11,158.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2009,1,3,2,30,0,0,0,3.8000000000000003,11,152.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2009,1,3,3,0,0,0,0,3.8000000000000003,11,146.14000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2009,1,3,3,30,0,0,0,3.8000000000000003,11,139.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2009,1,3,4,0,0,0,0,3.9000000000000004,12,133.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2009,1,3,4,30,0,0,0,4.0,12,127.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,2009,1,3,5,0,0,0,0,4.1000000000000005,12,121.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2009,1,3,5,30,0,0,0,4.1000000000000005,12,114.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2009,1,3,6,0,0,0,0,4.2,13,108.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2009,1,3,6,30,0,0,0,4.1000000000000005,12,102.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2009,1,3,7,0,0,0,0,4.0,12,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2009,1,3,7,30,0,0,0,4.1000000000000005,13,91.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2009,1,3,8,0,48,24,329,4.3,14,85.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2009,1,3,8,30,131,42,544,4.4,15,80.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,2009,1,3,9,0,222,53,677,4.5,16,75.57000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2009,1,3,9,30,308,61,758,5.1000000000000005,18,70.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,2009,1,3,10,0,388,66,816,5.7,20,66.82000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,2009,1,3,10,30,455,71,853,6.0,21,63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2009,1,3,11,0,511,73,881,6.300000000000001,22,60.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,2009,1,3,11,30,552,75,899,6.2,23,57.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2009,1,3,12,0,578,76,910,6.2,24,56.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,2009,1,3,12,30,589,76,915,6.0,24,55.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2009,1,3,13,0,584,74,918,5.800000000000001,25,56.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2009,1,3,13,30,563,73,912,5.4,25,57.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,2009,1,3,14,0,526,70,903,5.1000000000000005,26,59.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2009,1,3,14,30,475,67,882,4.6000000000000005,25,62.480000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2009,1,3,15,0,410,64,849,4.2,25,65.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2009,1,3,15,30,333,58,802,3.3000000000000003,23,70.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2009,1,3,16,0,247,51,734,2.5,22,74.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,2009,1,3,16,30,156,41,625,2.3000000000000003,19,79.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2009,1,3,17,0,68,27,439,2.2,17,84.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,2009,1,3,17,30,0,0,0,2.2,16,90.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2009,1,3,18,0,0,0,0,2.3000000000000003,16,95.71000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,2009,1,3,18,30,0,0,0,2.3000000000000003,15,101.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,2009,1,3,19,0,0,0,0,2.3000000000000003,15,107.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,2009,1,3,19,30,0,0,0,2.3000000000000003,14,113.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,2009,1,3,20,0,0,0,0,2.3000000000000003,14,119.74000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,2009,1,3,20,30,0,0,0,2.3000000000000003,13,125.96000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,2009,1,3,21,0,0,0,0,2.3000000000000003,13,132.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
